word,phonetic-sound,ph-end-3,ph-end-2
see,siː,siː,iː
tree,triː,riː,iː
day,deɪ,deɪ,eɪ
pray,preɪ,reɪ,eɪ
prest,prɛst,ɛst,st
breast,brɛst,ɛst,st
wear,weə,weə,eə
hair,heə,heə,eə
lain,leɪn,eɪn,ɪn
rain,reɪn,eɪn,ɪn
me,miː,miː,iː
july,ʤʊlaɪ,laɪ,aɪ
bee,biː,biː,iː
blush,blʌʃ,lʌʃ,ʌʃ
hay,heɪ,heɪ,eɪ
seed,siːd,iːd,ːd
bud,bʌd,bʌd,ʌd
may,meɪ,meɪ,eɪ
snow,snəʊ,nəʊ,əʊ
bells,bɛlz,ɛlz,lz
jay,ʤeɪ,ʤeɪ,eɪ
maize,meɪz,eɪz,ɪz
haze,heɪz,eɪz,ɪz
bur,bɜː,bɜː,ɜː
year,jɪə,jɪə,ɪə
she,ʃiː,ʃiː,iː
ski,skiː,kiː,iː
spree,spriː,riː,iː
squee,Squiː,uiː,iː
tea,tiː,tiː,iː
tee,tiː,tiː,iː
thee,ðiː,ðiː,iː
three,θriː,riː,iː
tree,triː,riː,iː
free,friː,riː,iː
gee,ʤiː,ʤiː,iː
ghee,ɡiː,ɡiː,iː
glee,ɡliː,liː,iː
he,hiː,hiː,iː
fuzee,Fuziː,ziː,iː
marquee,mɑːkiː,kiː,iː
marquis,mɑːkwɪs,wɪs,ɪs
sunday,sʌndeɪ,deɪ,eɪ
topee,təʊpi,ʊpi,pi
turnkey,tɜːnkiː,kiː,iː
emcee,ɛmsiː,siː,iː
fear,fɪə,fɪə,ɪə
show,ʃəʊ,ʃəʊ,əʊ
bleed,bliːd,iːd,ːd
flush,flʌʃ,lʌʃ,ʌʃ
cat,kæt,kæt,æt
bat,bæt,bæt,æt
boat,bəʊt,əʊt,ʊt
float,fləʊt,əʊt,ʊt
bout,baʊt,aʊt,ʊt
about,əbaʊt,aʊt,ʊt
abouts,əbaʊts,ʊts,ts
beabout,bəbut,but,ut
bebout,bɪbut,but,ut
bout,baʊt,aʊt,ʊt
boutell,butɛɫ,tɛɫ,ɛɫ
boutelle,butɛɫ,tɛɫ,ɛɫ
bouthillier,baʊθəɫiɝ,ɫiɝ,iɝ
boutilier,baʊtəɫiɝ,ɫiɝ,iɝ
boutin,butæn,tæn,æn
boutique,butik,tik,ik
boutiques,butiks,iks,ks
bouton,baʊtən,tən,ən
boutros,butɹoʊs,oʊs,ʊs
bouts,baʊts,ʊts,ts
boutte,but,but,ut
boutwell,baʊtwɛɫ,wɛɫ,ɛɫ
djibouti,dʒɪbuti,uti,ti
godbout,ɡɑdbaʊt,aʊt,ʊt
hereabout,hɪɹəbaʊt,aʊt,ʊt
hereabouts,hɪɹəbaʊts,ʊts,ts
how-about,haʊəbaʊt,aʊt,ʊt
roundabout,ɹaʊndəbaʊt,aʊt,ʊt
rubout,ɹəbaʊt,aʊt,ʊt
runabout,ɹənəbaʊt,aʊt,ʊt
thereabouts,ðɛɹəbaʊts,ʊts,ts
turnabout,tɝnəbaʊt,aʊt,ʊt
whereabouts,"hwɛɹəbaʊts,wɛɹəbaʊts",ʊts,ts
alai,əlaɪ,laɪ,aɪ
alkali,æɫkəlaɪ,laɪ,aɪ
ally,"ælaɪ,əlaɪ",laɪ,aɪ
alveoli,æɫviəlaɪ,laɪ,aɪ
apply,əplaɪ,laɪ,aɪ
belie,bɪlaɪ,laɪ,aɪ
bely,bəlaɪ,laɪ,aɪ
bligh,blaɪ,laɪ,aɪ
bly,blaɪ,laɪ,aɪ
blye,blaɪ,laɪ,aɪ
botfly,bɑtflaɪ,laɪ,aɪ
butterfly,bətɝflaɪ,laɪ,aɪ
comply,kəmplaɪ,laɪ,aɪ
eagleye,iɡəlaɪ,laɪ,aɪ
eli,ilaɪ,laɪ,aɪ
ely,ilaɪ,laɪ,aɪ
firefly,faɪɝflaɪ,laɪ,aɪ
fly,flaɪ,laɪ,aɪ
flye,flaɪ,laɪ,aɪ
gadfly,ɡædflaɪ,laɪ,aɪ
hoverfly,həvɝflaɪ,laɪ,aɪ
imply,ɪmplaɪ,laɪ,aɪ
july,"dʒulaɪ,dʒəlaɪ",laɪ,aɪ
lai,laɪ,laɪ,aɪ
lie,laɪ,laɪ,aɪ
lorelei,ɫɔɹɪlaɪ,laɪ,aɪ
ly,laɪ,laɪ,aɪ
lye,laɪ,laɪ,aɪ
maglaj,"mæɡlaɪ,mɑɡlaɪ",laɪ,aɪ
mcfly,məkflaɪ,laɪ,aɪ
misapply,mɪsəplaɪ,laɪ,aɪ
multiply,məɫtəplaɪ,laɪ,aɪ
nicholi,nɪkəlaɪ,laɪ,aɪ
nickolay,nɪkəlaɪ,laɪ,aɪ
nicolae,nɪkoʊlaɪ,laɪ,aɪ
nikolai,nɪkoʊlaɪ,laɪ,aɪ
overfly,oʊvɝflaɪ,laɪ,aɪ
oversupply,oʊvɝsəplaɪ,laɪ,aɪ
ply,plaɪ,laɪ,aɪ
poli,poʊlaɪ,laɪ,aɪ
reapply,ɹiəplaɪ,laɪ,aɪ
rely,"ɹilaɪ,ɹɪlaɪ",laɪ,aɪ
reply,"ɹiplaɪ,ɹɪplaɪ",laɪ,aɪ
resupply,ɹisəplaɪ,laɪ,aɪ
seelye,silaɪ,laɪ,aɪ
shoofly,ʃuflaɪ,laɪ,aɪ
sligh,slaɪ,laɪ,aɪ
sly,slaɪ,laɪ,aɪ
slye,slaɪ,laɪ,aɪ
stimuli,stɪmjəlaɪ,laɪ,aɪ
supply,səplaɪ,laɪ,aɪ
szalay,ʃɑlaɪ,laɪ,aɪ
underlie,əndɝlaɪ,laɪ,aɪ
underly,əndɝlaɪ,laɪ,aɪ
walleye,wɔlaɪ,laɪ,aɪ
westleigh,wɛstlaɪ,laɪ,aɪ
pray,preɪ,reɪ,eɪ
prest,prɛst,ɛst,st
